,tenor,pubdays,fix,pub,val
TOD,TOD,1,2019-08-20,2019-08-21,2019-08-22
TOM,TOM,2,2019-08-21,2019-08-22,2019-08-23
1w,1w,7,2019-08-26,2019-08-27,2019-08-28
2w,2w,14,2019-09-02,2019-09-03,2019-09-04
1m,1m,28,2019-09-16,2019-09-17,2019-09-23
2m,2m,62,2019-10-18,2019-10-21,2019-10-22
3m,3m,93,2019-11-20,2019-11-21,2019-11-22
4m,4m,122,2019-12-19,2019-12-20,2019-12-23
5m,5m,153,2020-01-17,2020-01-20,2020-01-22
6m,6m,185,2020-02-20,2020-02-21,2020-02-22
7m,7m,213,2020-03-19,2020-03-20,2020-03-23
8m,8m,245,2020-04-20,2020-04-21,2020-04-22
9m,9m,274,2020-05-19,2020-05-20,2020-05-22
10m,10m,304,2020-06-18,2020-06-19,2020-06-22
11m,11m,336,2020-07-20,2020-07-21,2020-07-22
12m,12m,367,2020-08-20,2020-08-21,2020-08-22
13m,13m,398,2020-09-17,2020-09-21,2020-09-22
14m,14m,428,2020-10-20,2020-10-21,2020-10-22
15m,15m,458,2020-11-19,2020-11-20,2020-11-23
16m,16m,489,2020-12-18,2020-12-21,2020-12-22
17m,17m,520,2021-01-20,2021-01-21,2021-01-22
18m,18m,549,2021-02-18,2021-02-19,2021-02-22
2y,2y,731,2021-08-19,2021-08-20,2021-08-23
2.5y,2.5y,913,2022-02-17,2022-02-18,2022-02-22
3y,3y,1095,2022-08-18,2022-08-19,2022-08-22
3.5y,3.5y,1280,2023-02-17,2023-02-20,2023-02-22
4y,4y,1462,2023-08-18,2023-08-21,2023-08-22
4.5y,4.5y,1646,2024-02-20,2024-02-21,2024-02-22
5y,5y,1828,2024-08-20,2024-08-21,2024-08-22
5.5y,5.5y,2012,2025-02-20,2025-02-21,2025-02-22
6y,6y,2193,2025-08-20,2025-08-21,2025-08-22
6.5y,6.5y,2376,2026-02-19,2026-02-20,2026-02-23
7y,7y,2558,2026-08-20,2026-08-21,2026-08-22
7.5y,7.5y,2740,2027-02-18,2027-02-19,2027-02-22
8y,8y,2922,2027-08-19,2027-08-20,2027-08-23
8.5y,8.5y,3107,2028-02-18,2028-02-21,2028-02-22
9y,9y,3289,2028-08-18,2028-08-21,2028-08-22
9.5y,9.5y,3473,2029-02-20,2029-02-21,2029-02-22
10y,10y,3654,2029-08-20,2029-08-21,2029-08-22
10.5y,10.5y,3838,2030-02-20,2030-02-21,2030-02-22
11y,11y,4019,2030-08-20,2030-08-21,2030-08-22
11.5y,11.5y,4203,2031-02-20,2031-02-21,2031-02-22
12y,12y,4384,2031-08-20,2031-08-21,2031-08-22
12.5y,12.5y,4567,2032-02-19,2032-02-20,2032-02-23
13y,13y,4749,2032-08-19,2032-08-20,2032-08-23
13.5y,13.5y,4934,2033-02-18,2033-02-21,2033-02-22
14y,14y,5113,2033-08-18,2033-08-19,2033-08-22
14.5y,14.5y,5299,2034-02-20,2034-02-21,2034-02-22
15y,15y,5480,2034-08-18,2034-08-21,2034-08-22
15.5y,15.5y,5664,2035-02-20,2035-02-21,2035-02-22
16y,16y,5845,2035-08-20,2035-08-21,2035-08-22
16.5y,16.5y,6029,2036-02-20,2036-02-21,2036-02-22
17y,17y,6211,2036-08-20,2036-08-21,2036-08-22
17.5y,17.5y,6394,2037-02-19,2037-02-20,2037-02-23
18y,18y,6576,2037-08-20,2037-08-21,2037-08-22
18.5y,18.5y,6758,2038-02-18,2038-02-19,2038-02-22
19y,19y,6940,2038-08-19,2038-08-20,2038-08-23
19.5y,19.5y,7125,2039-02-18,2039-02-21,2039-02-22
20y,20y,7304,2039-08-18,2039-08-19,2039-08-22
