,date,1w,2w,1m,2m,3m,4m,5m,6m,9m,12m,18m,2y
2018-08-07,2018-08-07,2.0,1.82,2.22,2.33,2.66,2.56,2.71,2.84,2.89,3.08,3.44,3.99
2018-08-08,2018-08-08,2.06,1.73,2.16,2.4,2.63,2.54,2.72,2.85,2.85,3.14,3.4,3.96
2018-08-09,2018-08-09,1.79,2.01,2.21,2.38,2.55,2.5,2.68,2.89,2.82,3.02,3.42,4.02
2018-08-10,2018-08-10,2.41,1.95,2.0,2.31,2.59,2.63,2.63,2.7,2.82,3.02,3.32,4.14
2018-08-13,2018-08-13,2.44,2.2,2.08,2.34,2.59,2.57,2.68,2.78,2.85,3.01,3.35,3.88
2018-08-14,2018-08-14,2.26,2.05,2.18,2.39,2.58,2.53,2.74,2.85,2.86,3.01,3.25,4.06
2018-08-15,2018-08-15,2.26,2.05,2.19,2.38,2.58,2.51,2.71,2.81,2.83,2.99,3.2,4.11
2018-08-16,2018-08-16,2.26,1.98,2.25,2.29,2.58,2.61,2.67,2.75,2.83,2.98,3.34,3.89
2018-08-17,2018-08-17,1.33,1.7,2.36,2.18,2.55,2.56,2.74,2.7,2.79,3.06,3.37,3.66
2018-08-20,2018-08-20,1.71,1.43,2.28,2.19,2.78,2.54,2.65,2.72,2.81,2.97,3.27,3.65
2018-08-21,2018-08-21,1.43,1.63,2.22,2.29,2.46,2.59,2.72,2.71,2.78,2.97,3.2,3.96
2018-08-22,2018-08-22,1.38,1.8,1.84,2.32,2.61,2.52,2.58,2.77,2.83,3.0,3.2,3.85
2018-08-23,2018-08-23,1.52,1.7,2.19,2.28,2.59,2.48,2.74,2.72,2.77,3.01,3.26,3.7
2018-08-24,2018-08-24,1.15,1.33,2.36,2.3,2.55,2.7,2.56,2.79,2.81,2.97,3.2,3.58
2018-08-27,2018-08-27,1.11,1.06,2.47,2.26,2.61,2.55,2.71,2.96,2.75,3.11,3.21,3.55
2018-08-28,2018-08-28,0.85,0.83,2.15,2.4,2.58,2.54,2.73,2.76,2.83,3.05,3.21,3.49
2018-08-29,2018-08-29,0.89,1.09,1.78,2.6,2.5,2.56,2.71,2.66,2.8,3.14,3.2,3.49
2018-08-30,2018-08-30,0.28,0.91,1.8,2.31,2.09,2.57,2.62,2.62,2.89,3.13,3.2,3.45
2018-08-31,2018-08-31,-0.76,-1.11,3.05,1.91,2.18,2.63,2.55,2.59,2.89,3.07,3.17,3.54
2018-09-03,2018-09-03,0.1,1.68,1.06,2.11,2.67,2.7,2.64,2.58,2.91,3.1,3.12,3.37
2018-09-04,2018-09-04,-0.94,2.02,0.22,2.38,2.66,2.46,2.69,3.11,2.76,3.14,3.19,3.42
2018-09-05,2018-09-05,-2.13,4.83,0.52,2.84,2.49,2.78,2.25,2.69,2.91,3.45,3.2,3.98
2018-09-06,2018-09-06,-1.6,0.7,1.56,2.55,2.47,2.63,3.35,2.16,2.97,3.38,3.39,3.75
2018-09-07,2018-09-07,-0.92,1.47,1.4,2.35,2.63,2.66,2.72,3.0,3.04,3.31,3.47,4.02
2018-09-10,2018-09-10,0.96,-0.8,1.25,2.4,2.71,2.6,3.11,2.75,3.03,3.29,3.47,4.0
2018-09-11,2018-09-11,1.5,-1.66,1.3,2.53,2.52,2.87,2.76,2.84,3.11,3.32,3.64,3.81
2018-09-12,2018-09-12,0.07,0.3,1.35,2.44,2.56,2.83,2.73,2.77,2.99,3.35,3.65,3.88
2018-09-13,2018-09-13,-0.03,-1.28,1.4,2.49,2.53,2.62,2.68,2.73,2.98,3.44,3.63,4.01
2018-09-14,2018-09-14,-1.16,-0.15,2.58,2.25,2.62,2.74,2.68,2.69,2.91,3.46,3.71,3.98
2018-09-17,2018-09-17,-0.26,-0.41,2.23,2.28,2.68,2.68,2.71,2.67,2.92,3.46,3.65,4.02
2018-09-18,2018-09-18,-0.26,-0.41,2.17,2.3,2.66,2.66,2.72,2.67,2.95,3.42,3.66,4.06
2018-09-19,2018-09-19,-0.26,-0.4,2.18,2.36,2.65,2.67,2.75,2.69,2.93,3.41,3.65,3.99
2018-09-20,2018-09-20,0.59,-0.04,1.66,2.38,2.55,2.79,2.74,2.82,3.04,3.28,3.8,4.02
2018-09-21,2018-09-21,0.18,0.96,1.75,2.34,2.69,2.76,2.76,2.84,3.08,3.27,3.71,3.96
2018-09-24,2018-09-24,0.57,1.47,1.69,2.4,2.79,2.94,2.79,2.83,3.07,3.37,3.72,3.98
2018-09-25,2018-09-25,0.74,1.62,1.57,2.43,2.77,2.94,2.78,2.86,3.12,3.37,3.7,4.0
2018-09-26,2018-09-26,0.83,2.29,1.19,2.52,3.09,2.62,2.78,2.43,3.18,3.34,3.72,3.84
2018-09-27,2018-09-27,0.85,1.06,1.74,2.3,2.56,2.76,2.75,2.78,3.11,3.3,3.81,3.96
2018-09-28,2018-09-28,0.41,2.17,1.39,2.25,2.61,2.82,2.83,2.89,3.16,3.31,3.82,3.89
2018-10-01,2018-10-01,1.36,1.95,1.68,2.29,2.64,2.79,2.85,2.91,3.08,3.39,3.7,4.03
2018-10-02,2018-10-02,1.32,1.61,1.96,2.36,2.59,2.71,2.79,2.85,3.12,3.27,3.76,3.91
2018-10-03,2018-10-03,1.36,1.36,1.78,2.39,2.64,2.69,2.88,2.77,3.12,3.34,3.81,3.97
2018-10-04,2018-10-04,1.13,1.74,1.84,2.31,2.45,2.67,2.88,2.89,3.12,3.3,3.87,3.95
2018-10-05,2018-10-05,0.74,2.49,1.59,2.08,2.47,2.46,2.76,3.09,3.13,3.51,3.74,4.15
2018-10-08,2018-10-08,1.15,1.82,1.59,1.9,2.59,2.5,3.04,2.94,3.16,3.28,3.82,3.93
2018-10-09,2018-10-09,1.46,1.38,1.59,2.01,2.35,2.66,2.82,3.14,3.13,3.35,3.79,3.96
2018-10-10,2018-10-10,1.76,1.85,1.34,2.0,2.52,2.64,2.54,2.99,3.09,3.3,3.72,3.74
2018-10-11,2018-10-11,1.24,1.9,1.41,1.66,2.48,2.71,2.7,3.11,3.06,3.19,3.59,3.72
2018-10-12,2018-10-12,0.23,0.36,1.89,1.61,2.48,2.7,2.61,3.12,3.06,3.27,3.67,3.78
2018-10-15,2018-10-15,0.78,0.29,1.55,1.62,2.69,2.69,2.67,3.15,3.08,3.28,3.64,3.79
2018-10-16,2018-10-16,0.76,0.27,1.5,1.37,2.44,2.56,2.82,3.09,3.07,3.31,3.58,3.88
2018-10-17,2018-10-17,0.77,0.27,1.86,1.72,2.66,2.76,2.76,3.04,3.05,3.4,3.72,3.85
2018-10-18,2018-10-18,1.27,1.08,1.59,1.4,2.27,2.63,2.77,3.31,3.09,3.41,3.83,3.61
2018-10-19,2018-10-19,1.03,0.41,1.88,1.4,2.37,2.64,2.86,3.17,3.1,3.51,3.87,3.43
2018-10-22,2018-10-22,1.63,0.9,1.72,1.24,2.54,2.6,2.67,3.38,3.13,3.35,3.61,3.64
2018-10-23,2018-10-23,1.78,1.88,1.73,1.74,2.2,2.26,2.54,3.38,3.15,3.35,3.53,3.59
2018-10-24,2018-10-24,1.79,1.89,1.59,1.88,2.17,2.43,2.53,3.09,3.13,3.14,3.55,3.45
2018-10-25,2018-10-25,1.87,1.96,1.74,1.98,2.16,2.21,2.46,3.22,3.06,3.34,3.57,3.49
2018-10-26,2018-10-26,1.46,1.71,2.03,2.1,2.07,2.05,2.83,3.06,3.03,3.31,3.53,3.61
2018-10-29,2018-10-29,1.55,1.69,1.81,2.0,2.18,1.79,3.0,3.18,3.09,3.36,3.54,3.57
2018-10-30,2018-10-30,1.78,1.82,1.94,1.97,2.17,2.14,2.86,2.99,3.12,3.32,3.59,3.5
2018-10-31,2018-10-31,1.81,1.98,1.88,1.98,2.05,2.15,2.99,2.93,3.13,3.26,3.44,3.57
2018-11-01,2018-11-01,1.79,1.83,2.07,1.99,2.08,2.19,2.71,3.1,3.05,3.33,3.46,3.54
2018-11-02,2018-11-02,1.61,1.89,2.1,1.98,2.11,2.21,2.74,3.11,3.13,3.43,3.56,3.63
2018-11-05,2018-11-05,1.91,2.22,1.93,2.02,2.34,2.13,2.89,2.95,3.13,3.46,3.58,3.59
2018-11-06,2018-11-06,2.2,2.11,2.23,2.2,2.24,2.41,2.88,2.84,3.21,3.36,3.62,3.56
2018-11-07,2018-11-07,2.07,2.29,2.31,1.99,2.3,2.61,2.95,2.48,3.16,3.41,3.65,3.61
2018-11-08,2018-11-08,2.6,2.25,2.14,2.68,2.49,2.75,2.81,2.85,3.15,3.35,3.55,3.78
2018-11-09,2018-11-09,3.08,1.99,2.66,2.28,2.63,2.82,2.87,2.67,3.19,3.34,3.5,3.73
2018-11-12,2018-11-12,2.58,2.17,2.58,2.47,2.91,2.71,2.77,2.65,3.21,3.36,3.45,3.75
2018-11-13,2018-11-13,2.52,2.25,2.39,2.4,2.72,2.63,2.8,2.84,3.13,3.29,3.41,3.76
2018-11-14,2018-11-14,2.08,2.87,2.42,2.42,2.63,2.6,2.82,2.73,3.12,3.3,3.31,3.76
2018-11-15,2018-11-15,2.32,1.36,2.65,2.2,2.55,2.59,2.43,2.86,2.92,3.46,3.42,3.74
2018-11-16,2018-11-16,2.05,1.83,2.26,2.11,2.67,2.39,2.64,2.49,2.91,3.19,3.4,3.78
2018-11-19,2018-11-19,2.09,1.88,2.24,2.06,2.85,2.03,2.48,2.93,2.88,3.13,3.35,3.77
2018-11-20,2018-11-20,2.35,1.52,2.28,2.05,2.85,2.38,2.58,2.92,2.89,3.13,3.39,3.7
2018-11-21,2018-11-21,2.09,1.89,2.26,2.22,2.67,2.49,2.63,2.77,2.98,3.11,3.39,3.64
2018-11-22,2018-11-22,2.53,2.27,1.93,2.02,2.7,2.57,2.61,2.81,2.91,3.06,3.35,3.7
2018-11-23,2018-11-23,2.58,1.57,2.31,2.12,2.47,2.61,2.66,2.57,2.87,3.08,3.37,3.59
2018-11-26,2018-11-26,2.25,2.46,2.06,2.17,2.58,2.56,2.58,2.75,2.91,3.12,3.35,3.59
2018-11-27,2018-11-27,2.26,2.47,2.12,2.06,2.67,2.58,2.56,2.7,2.87,3.15,3.36,3.55
2018-11-28,2018-11-28,2.26,2.47,2.26,2.06,2.72,2.62,2.48,2.85,2.85,3.02,3.3,3.53
2018-11-29,2018-11-29,1.98,2.16,2.39,2.22,2.79,2.7,2.51,3.0,2.8,3.06,3.34,3.44
2018-11-30,2018-11-30,1.88,2.22,2.72,2.37,2.73,2.79,2.65,2.86,2.81,3.07,3.29,3.53
2018-12-03,2018-12-03,2.41,2.47,2.31,2.46,2.9,2.66,2.7,2.92,2.9,3.07,3.33,3.54
2018-12-04,2018-12-04,2.35,2.55,2.39,2.5,2.92,2.67,2.73,2.87,2.96,3.02,3.26,3.49
2018-12-05,2018-12-05,2.35,2.42,2.2,2.77,2.69,2.79,2.8,2.71,2.93,3.03,3.21,3.43
2018-12-06,2018-12-06,2.22,2.58,2.29,2.44,2.79,2.75,2.79,2.89,3.03,3.02,3.14,3.35
2018-12-07,2018-12-07,2.15,2.37,2.42,2.41,2.95,2.82,2.8,2.89,2.98,2.98,3.04,3.24
2018-12-10,2018-12-10,1.88,2.36,2.46,2.61,2.93,2.72,2.8,2.68,2.97,3.0,3.05,3.21
2018-12-11,2018-12-11,1.82,1.46,2.28,2.75,2.91,2.71,2.78,2.83,2.99,3.07,3.3,3.21
2018-12-12,2018-12-12,1.51,1.4,1.85,2.75,2.83,2.8,2.84,3.05,2.98,3.06,3.22,3.33
2018-12-13,2018-12-13,0.77,0.98,2.2,2.68,2.82,2.9,2.84,2.95,2.97,3.04,3.22,3.32
2018-12-14,2018-12-14,0.9,0.78,2.43,2.64,2.89,2.91,2.88,2.91,2.99,3.03,3.18,3.26
2018-12-17,2018-12-17,0.41,2.01,1.93,2.75,2.95,2.71,2.93,2.97,2.91,2.99,3.25,3.11
2018-12-18,2018-12-18,0.11,1.46,1.94,2.78,3.02,2.78,2.83,2.91,2.83,2.91,3.14,3.02
2018-12-19,2018-12-19,-0.44,0.78,2.07,2.85,2.93,2.97,2.85,2.88,2.87,2.92,3.12,2.92
2018-12-20,2018-12-20,0.92,0.27,1.51,3.13,2.36,3.05,2.86,2.8,2.91,2.92,3.23,3.2
2018-12-21,2018-12-21,-1.0,1.85,2.57,3.03,2.83,2.86,2.72,2.87,2.83,2.94,2.96,3.05
2018-12-24,2018-12-24,0.16,2.29,2.69,2.75,2.78,2.77,2.7,2.79,2.84,2.79,2.83,2.89
2018-12-25,2018-12-25,0.16,2.29,2.64,2.77,2.78,2.77,2.7,2.8,2.83,2.79,2.85,2.92
2018-12-26,2018-12-26,1.24,0.34,1.87,3.1,2.94,2.87,2.7,2.95,2.79,2.83,2.97,2.92
2018-12-27,2018-12-27,0.71,0.72,2.04,2.71,2.68,2.58,2.77,2.58,2.78,2.76,2.97,3.02
2018-12-28,2018-12-28,0.67,1.0,2.11,2.68,3.0,2.44,3.19,2.66,2.81,2.65,3.0,2.8
2018-12-31,2018-12-31,1.18,0.91,1.9,2.71,3.06,2.48,3.13,2.67,2.8,2.68,2.95,2.76
2019-01-01,2019-01-01,1.18,0.91,1.86,2.73,3.08,2.48,3.11,2.68,2.81,2.66,2.95,2.76
2019-01-02,2019-01-02,1.18,1.4,2.22,2.66,2.93,2.57,3.01,2.69,2.8,2.79,2.84,2.82
2019-01-03,2019-01-03,1.48,0.96,2.19,2.49,2.88,2.62,2.98,2.3,2.75,2.54,2.68,2.62
