,date,1w,2w,1m,2m,3m,4m,5m,6m,9m,12m,18m,2y
2018-07-25,2018-07-25,-1.96,-1.78,-1.29,-0.88,-0.57,-0.42,-0.37,-0.29,-0.27,-0.27,-0.28,-0.24
2018-07-26,2018-07-26,-2.15,-2.29,-1.35,-0.87,-0.56,-0.41,-0.34,-0.27,-0.26,-0.28,-0.28,-0.26
2018-07-27,2018-07-27,-2.67,-2.12,-1.41,-0.8,-0.53,-0.42,-0.34,-0.24,-0.24,-0.27,-0.29,-0.28
2018-07-30,2018-07-30,-1.51,-1.36,-1.37,-0.7,-0.47,-0.28,-0.23,-0.18,-0.22,-0.24,-0.29,-0.29
2018-07-31,2018-07-31,-1.51,-0.71,-1.22,-0.36,-0.45,-0.09,-0.08,-0.07,-0.13,-0.16,-0.23,-0.26
2018-08-01,2018-08-01,-0.85,-0.67,-0.51,-0.28,-0.17,-0.14,-0.12,-0.07,-0.16,-0.17,-0.17,-0.25
2018-08-02,2018-08-02,-0.85,-0.71,-0.48,-0.34,-0.13,-0.19,-0.16,-0.05,-0.19,-0.22,-0.27,-0.25
2018-08-03,2018-08-03,-0.99,-0.59,-0.51,-0.34,-0.18,-0.17,-0.14,-0.11,-0.17,-0.21,-0.27,-0.25
2018-08-06,2018-08-06,-0.48,-0.58,-0.5,-0.35,-0.19,-0.17,-0.14,-0.1,-0.16,-0.21,-0.23,-0.22
2018-08-07,2018-08-07,-0.38,-0.58,-0.45,-0.32,-0.19,-0.17,-0.14,-0.1,-0.15,-0.19,-0.26,-0.26
2018-08-08,2018-08-08,-0.75,-0.62,-0.49,-0.32,-0.19,-0.2,-0.16,-0.11,-0.17,-0.23,-0.27,-0.26
2018-08-09,2018-08-09,-0.2,-0.33,-0.47,-0.31,-0.22,-0.15,-0.13,-0.12,-0.17,-0.23,-0.32,-0.3
2018-08-10,2018-08-10,0.25,-0.09,-0.41,-0.26,-0.2,-0.14,-0.12,-0.1,-0.15,-0.23,-0.3,-0.23
2018-08-13,2018-08-13,-0.21,-0.33,-0.31,-0.26,-0.16,-0.15,-0.11,-0.08,-0.12,-0.19,-0.26,-0.24
2018-08-14,2018-08-14,-0.21,-0.33,-0.35,-0.26,-0.16,-0.16,-0.12,-0.09,-0.14,-0.22,-0.33,-0.27
2018-08-15,2018-08-15,-0.2,-0.37,-0.33,-0.29,-0.15,-0.14,-0.12,-0.1,-0.12,-0.2,-0.31,-0.22
2018-08-16,2018-08-16,-1.01,-0.95,-0.32,-0.47,-0.18,-0.25,-0.19,-0.16,-0.19,-0.23,-0.29,-0.25
2018-08-17,2018-08-17,-0.83,-0.97,-0.59,-0.48,-0.32,-0.22,-0.2,-0.18,-0.2,-0.28,-0.31,-0.36
2018-08-20,2018-08-20,-1.1,-0.99,-0.57,-0.46,-0.26,-0.27,-0.22,-0.2,-0.23,-0.29,-0.34,-0.36
2018-08-21,2018-08-21,-1.19,-0.95,-0.65,-0.54,-0.33,-0.29,-0.27,-0.23,-0.23,-0.28,-0.39,-0.33
2018-08-22,2018-08-22,-1.01,-0.91,-0.85,-0.45,-0.34,-0.26,-0.2,-0.18,-0.22,-0.27,-0.35,-0.33
2018-08-23,2018-08-23,-1.1,-1.15,-0.61,-0.47,-0.26,-0.22,-0.21,-0.18,-0.22,-0.28,-0.35,-0.36
2018-08-24,2018-08-24,-1.79,-1.57,-0.71,-0.5,-0.31,-0.27,-0.23,-0.15,-0.22,-0.26,-0.35,-0.39
2018-08-27,2018-08-27,-1.66,-1.67,-0.72,-0.61,-0.33,-0.32,-0.27,-0.23,-0.24,-0.28,-0.33,-0.39
2018-08-28,2018-08-28,-1.65,-1.54,-1.03,-0.57,-0.38,-0.33,-0.27,-0.25,-0.28,-0.27,-0.36,-0.43
2018-08-29,2018-08-29,-2.36,-1.99,-1.2,-0.81,-0.38,-0.54,-0.44,-0.4,-0.31,-0.29,-0.37,-0.45
2018-08-30,2018-08-30,-2.33,-2.98,-1.35,-0.98,-0.67,-0.6,-0.51,-0.46,-0.36,-0.35,-0.38,-0.44
2018-08-31,2018-08-31,-3.72,-1.97,-1.41,-1.04,-0.78,-0.47,-0.4,-0.36,-0.28,-0.28,-0.41,-0.44
2018-09-03,2018-09-03,-3.98,-2.23,-1.65,-1.32,-0.66,-0.66,-0.54,-0.38,-0.36,-0.32,-0.37,-0.43
2018-09-04,2018-09-04,-5.76,-1.74,-2.38,-0.87,-0.85,-0.45,-0.5,-0.46,-0.4,-0.32,-0.41,-0.46
2018-09-05,2018-09-05,-4.49,-3.16,-2.05,-1.09,-0.63,-0.64,-0.42,-0.52,-0.44,-0.4,-0.46,-0.39
2018-09-06,2018-09-06,-2.74,-2.14,-2.08,-0.98,-0.75,-0.54,-0.48,-0.4,-0.35,-0.35,-0.38,-0.4
2018-09-07,2018-09-07,-1.6,-2.62,-1.8,-1.01,-0.66,-0.55,-0.41,-0.39,-0.34,-0.35,-0.38,-0.36
2018-09-10,2018-09-10,-0.48,-2.33,-1.85,-0.98,-0.67,-0.49,-0.43,-0.39,-0.35,-0.35,-0.35,-0.34
2018-09-11,2018-09-11,-2.46,-2.33,-1.86,-1.0,-0.69,-0.52,-0.47,-0.43,-0.41,-0.4,-0.36,-0.41
2018-09-12,2018-09-12,-2.3,-3.03,-1.85,-1.14,-0.7,-0.65,-0.56,-0.52,-0.47,-0.42,-0.37,-0.37
2018-09-13,2018-09-13,-2.77,-2.86,-2.13,-0.96,-0.79,-0.53,-0.48,-0.46,-0.48,-0.43,-0.4,-0.35
2018-09-14,2018-09-14,-3.84,-3.25,-1.61,-0.96,-0.67,-0.53,-0.48,-0.46,-0.48,-0.44,-0.43,-0.4
2018-09-17,2018-09-17,-2.75,-2.84,-1.58,-1.0,-0.65,-0.53,-0.48,-0.46,-0.48,-0.44,-0.41,-0.36
2018-09-18,2018-09-18,-2.75,-2.84,-1.61,-0.94,-0.64,-0.52,-0.46,-0.45,-0.47,-0.42,-0.41,-0.36
2018-09-19,2018-09-19,-1.79,-2.15,-1.62,-0.91,-0.64,-0.52,-0.47,-0.44,-0.4,-0.43,-0.38,-0.35
2018-09-20,2018-09-20,-1.82,-1.78,-1.56,-0.83,-0.65,-0.46,-0.41,-0.39,-0.36,-0.4,-0.39,-0.38
2018-09-21,2018-09-21,-2.87,-1.77,-1.45,-0.8,-0.64,-0.41,-0.38,-0.37,-0.36,-0.39,-0.37,-0.35
2018-09-24,2018-09-24,-1.91,-1.42,-1.29,-0.81,-0.56,-0.41,-0.38,-0.37,-0.35,-0.38,-0.38,-0.36
2018-09-25,2018-09-25,-1.91,-1.08,-1.27,-0.78,-0.53,-0.4,-0.37,-0.44,-0.38,-0.4,-0.41,-0.42
2018-09-26,2018-09-26,-1.69,-1.58,-1.17,-0.82,-0.42,-0.51,-0.45,-0.44,-0.36,-0.39,-0.39,-0.43
2018-09-27,2018-09-27,-1.71,-1.22,-1.24,-0.85,-0.62,-0.51,-0.44,-0.41,-0.36,-0.36,-0.38,-0.38
2018-09-28,2018-09-28,-1.7,-1.03,-1.3,-0.69,-0.66,-0.43,-0.37,-0.35,-0.36,-0.34,-0.35,-0.36
2018-10-01,2018-10-01,-1.25,-1.09,-0.95,-0.65,-0.54,-0.44,-0.4,-0.39,-0.36,-0.38,-0.38,-0.36
2018-10-02,2018-10-02,-1.16,-1.18,-0.9,-0.71,-0.54,-0.49,-0.42,-0.42,-0.37,-0.4,-0.32,-0.31
2018-10-03,2018-10-03,-1.51,-1.17,-1.05,-0.74,-0.58,-0.56,-0.48,-0.44,-0.4,-0.42,-0.37,-0.38
2018-10-04,2018-10-04,-1.49,-0.95,-0.99,-0.85,-0.63,-0.67,-0.59,-0.51,-0.47,-0.41,-0.37,-0.39
2018-10-05,2018-10-05,-2.06,-1.25,-1.05,-1.0,-0.71,-0.7,-0.55,-0.5,-0.44,-0.45,-0.44,-0.4
2018-10-08,2018-10-08,-1.04,-1.11,-1.08,-0.95,-0.76,-0.67,-0.59,-0.49,-0.42,-0.41,-0.41,-0.43
2018-10-09,2018-10-09,-0.78,-0.74,-1.09,-0.93,-0.8,-0.63,-0.61,-0.52,-0.46,-0.46,-0.42,-0.44
2018-10-10,2018-10-10,-1.38,-1.01,-1.05,-1.13,-0.74,-0.7,-0.63,-0.51,-0.46,-0.48,-0.43,-0.49
2018-10-11,2018-10-11,-1.65,-1.95,-1.12,-1.29,-0.86,-0.81,-0.73,-0.62,-0.54,-0.54,-0.53,-0.55
2018-10-12,2018-10-12,-2.31,-2.25,-1.49,-1.37,-0.99,-0.8,-0.72,-0.6,-0.52,-0.53,-0.53,-0.55
2018-10-15,2018-10-15,-1.66,-1.96,-1.53,-1.54,-1.03,-0.97,-0.83,-0.71,-0.6,-0.56,-0.53,-0.54
2018-10-16,2018-10-16,-1.67,-1.98,-1.55,-1.25,-1.18,-0.76,-0.68,-0.57,-0.51,-0.49,-0.55,-0.55
2018-10-17,2018-10-17,-1.22,-1.36,-1.36,-1.35,-0.92,-0.91,-0.78,-0.6,-0.5,-0.49,-0.47,-0.5
2018-10-18,2018-10-18,-1.27,-1.77,-1.38,-1.4,-1.09,-0.9,-0.76,-0.63,-0.52,-0.47,-0.44,-0.53
2018-10-19,2018-10-19,-1.22,-1.6,-1.44,-1.47,-1.09,-0.9,-0.82,-0.63,-0.51,-0.49,-0.43,-0.56
2018-10-22,2018-10-22,-0.99,-0.94,-1.22,-1.09,-1.1,-0.87,-0.82,-0.63,-0.5,-0.46,-0.52,-0.59
2018-10-23,2018-10-23,-0.99,-0.94,-0.99,-1.03,-0.91,-0.83,-0.78,-0.64,-0.49,-0.51,-0.55,-0.62
2018-10-24,2018-10-24,-0.9,-0.85,-1.08,-0.93,-0.92,-0.82,-0.78,-0.62,-0.51,-0.47,-0.51,-0.57
2018-10-25,2018-10-25,-1.07,-1.09,-0.95,-0.83,-0.82,-0.86,-0.74,-0.63,-0.54,-0.5,-0.54,-0.62
2018-10-26,2018-10-26,-1.58,-1.27,-0.96,-0.95,-0.84,-0.99,-0.81,-0.67,-0.57,-0.52,-0.54,-0.56
2018-10-29,2018-10-29,-0.98,-0.97,-1.09,-0.92,-0.87,-0.87,-0.74,-0.64,-0.55,-0.51,-0.51,-0.54
2018-10-30,2018-10-30,-0.98,-0.88,-0.9,-0.88,-0.81,-0.88,-0.73,-0.64,-0.51,-0.48,-0.48,-0.54
2018-10-31,2018-10-31,-0.98,-0.96,-0.89,-0.86,-0.84,-0.83,-0.74,-0.61,-0.52,-0.47,-0.51,-0.57
2018-11-01,2018-11-01,-0.97,-0.96,-0.84,-0.83,-0.81,-0.81,-0.72,-0.6,-0.5,-0.43,-0.45,-0.5
2018-11-02,2018-11-02,-1.06,-0.75,-0.86,-0.79,-0.83,-0.77,-0.65,-0.58,-0.49,-0.43,-0.46,-0.51
2018-11-05,2018-11-05,-0.54,-0.6,-0.8,-0.63,-0.73,-0.63,-0.54,-0.51,-0.43,-0.4,-0.43,-0.48
2018-11-06,2018-11-06,-0.72,-0.6,-0.59,-0.71,-0.64,-0.62,-0.52,-0.56,-0.46,-0.42,-0.4,-0.47
2018-11-07,2018-11-07,-0.1,-0.32,-0.52,-0.36,-0.69,-0.38,-0.36,-0.36,-0.35,-0.35,-0.41,-0.49
2018-11-08,2018-11-08,0.17,-0.19,-0.51,-0.37,-0.39,-0.31,-0.29,-0.33,-0.32,-0.33,-0.45,-0.49
2018-11-09,2018-11-09,0.11,-0.33,-0.14,-0.36,-0.35,-0.28,-0.29,-0.35,-0.31,-0.32,-0.43,-0.48
2018-11-12,2018-11-12,-0.2,-0.36,-0.29,-0.45,-0.26,-0.39,-0.37,-0.37,-0.36,-0.38,-0.46,-0.5
2018-11-13,2018-11-13,-0.8,-0.36,-0.39,-0.42,-0.36,-0.4,-0.38,-0.4,-0.37,-0.38,-0.5,-0.53
